accx, accy, accz, magx, magy, magz, roll, pitch, yaw
-0.033977, -0.008540, 0.995459, -0.307860, 0.225260, -0.703640, -0.008579, 0.034117, -1.004563
-0.030622, -0.009455, 0.995764, -0.310660, 0.228200, -0.700980, -0.009495, 0.030741, -1.002697
-0.031293, -0.009272, 0.995032, -0.311080, 0.226660, -0.696360, -0.009318, 0.031438, -1.006567
-0.032025, -0.009211, 0.992714, -0.317940, 0.227780, -0.693980, -0.009278, 0.032247, -1.014582
-0.031659, -0.009821, 0.996069, -0.317940, 0.227780, -0.693980, -0.009859, 0.031772, -1.014582
-0.033184, -0.008784, 0.998753, -0.314440, 0.229040, -0.690900, -0.008795, 0.033212, -1.006709
-0.031049, -0.008601, 0.993324, -0.313880, 0.227360, -0.692020, -0.008659, 0.031246, -1.009362
-0.029280, -0.009211, 0.996374, -0.311220, 0.230860, -0.693140, -0.009244, 0.029377, -0.998020
-0.030256, -0.010797, 0.995032, -0.309680, 0.223020, -0.690900, -0.010850, 0.030396, -1.012116
-0.030500, -0.009943, 0.995520, -0.309680, 0.223020, -0.690900, -0.009987, 0.030626, -1.012116
-0.029951, -0.008357, 0.993019, -0.315980, 0.222740, -0.696780, -0.008416, 0.030151, -1.022227
-0.030500, -0.009150, 0.996191, -0.311640, 0.221620, -0.692440, -0.009185, 0.030606, -1.018082
-0.032879, -0.010187, 0.997411, -0.311640, 0.219800, -0.692440, -0.010213, 0.032951, -1.021971
-0.031903, -0.007930, 0.994117, -0.313880, 0.221620, -0.688940, -0.007977, 0.032080, -1.021461
-0.031842, -0.009394, 0.994910, -0.313880, 0.221620, -0.688940, -0.009442, 0.031993, -1.021461
-0.031232, -0.008662, 0.993507, -0.307860, 0.228060, -0.687260, -0.008718, 0.031425, -0.998665
-0.031049, -0.007930, 0.996557, -0.316680, 0.226520, -0.689640, -0.007957, 0.031145, -1.015328
-0.031171, -0.009394, 0.993080, -0.314860, 0.225400, -0.695940, -0.009459, 0.031377, -1.014946
-0.030439, -0.007991, 0.995032, -0.313460, 0.224280, -0.692020, -0.008031, 0.030580, -1.015195
-0.030439, -0.010126, 0.991860, -0.313460, 0.224280, -0.692020, -0.010209, 0.030678, -1.015195
-0.031598, -0.008174, 0.996008, -0.316820, 0.226380, -0.693700, -0.008207, 0.031713, -1.015830
-0.032879, -0.009516, 0.994971, -0.310240, 0.230720, -0.689220, -0.009564, 0.033032, -0.996801
-0.032025, -0.008052, 0.996313, -0.316120, 0.228900, -0.691460, -0.008082, 0.032131, -1.009533
-0.031110, -0.008784, 0.992897, -0.315700, 0.227500, -0.696780, -0.008847, 0.031321, -1.011814
-0.030622, -0.009760, 0.996252, -0.315700, 0.227500, -0.696780, -0.009796, 0.030726, -1.011814
-0.032818, -0.010004, 0.996679, -0.310520, 0.231700, -0.696640, -0.010037, 0.032914, -0.995202
-0.031659, -0.006649, 0.994300, -0.316400, 0.220220, -0.697620, -0.006687, 0.031829, -1.028198
-0.028792, -0.008479, 0.995276, -0.313320, 0.225540, -0.694540, -0.008519, 0.028920, -1.012329
-0.032635, -0.007991, 0.993202, -0.312480, 0.224700, -0.694820, -0.008046, 0.032845, -1.012825
-0.033245, -0.010675, 0.995520, -0.313740, 0.224700, -0.692580, -0.010723, 0.033380, -1.014732
-0.028182, -0.011834, 0.996313, -0.313740, 0.225120, -0.692580, -0.011877, 0.028277, -1.013847
-0.030500, -0.007991, 0.995581, -0.306880, 0.224420, -0.698740, -0.008026, 0.030625, -1.004824
-0.032818, -0.009821, 0.995947, -0.312480, 0.224700, -0.691600, -0.009861, 0.032938, -1.012825
-0.031110, -0.010309, 0.994910, -0.307440, 0.222740, -0.691600, -0.010361, 0.031257, -1.009266
